"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
Barbados,"106,798",,579,,"106,211",,8,,"370,797","2,010","794,426","2,758,203","288,023","Last updated: March 13, 2023, 13:55 "
Angola,"105,288",,"1,933",,"103,342",,13,,"3,006",55,"1,499,795","42,818","35,027,343","Last updated: March 13, 2023, 13:55 "
Channel Islands,"101,449",,227,,"101,091",,131,,"574,902","1,286","1,252,808","7,099,551","176,463","Last updated: March 13, 2023, 13:55 "
French Guiana,"98,041",,420,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169","Last updated: March 13, 2023, 13:55 "
DRC,"95,749",,"1,464",,"84,321",,"9,964",,"1,005",15,"846,704","8,890","95,240,792","Last updated: March 13, 2023, 13:55 "
Senegal,"88,926",,"1,971",,"86,947",,8,,"5,037",112,"1,146,543","64,946","17,653,671","Last updated: March 13, 2023, 13:55 "
Malawi,"88,707",,"2,686",,"85,583",,438,67,"4,396",133,"624,784","30,959","20,180,839","Last updated: March 13, 2023, 13:55 "
Ivory Coast,"88,275",,834,,"87,421",,20,,"3,182",30,"1,682,166","60,635","27,742,298","Last updated: March 13, 2023, 13:55 "
Suriname,"82,467",,"1,404",,N/A,N/A,N/A,,"138,175","2,352","241,357","404,398","596,831","Last updated: March 13, 2023, 13:55 "
New Caledonia,"79,881",,314,,"79,558",,9,9,"274,585","1,079","98,964","340,182","290,915","Last updated: March 13, 2023, 13:55 "
French Polynesia,"78,055",,649,,N/A,N/A,N/A,7,"274,683","2,284",,,"284,164","Last updated: March 13, 2023, 13:55 "
Eswatini,"74,323",,"1,425",,"72,824",,74,,"62,730","1,203","1,048,704","885,119","1,184,817","Last updated: March 13, 2023, 13:55 "
Guyana,"73,086",,"1,298",,"71,775",,13,,"92,043","1,635","722,993","910,519","794,045","Last updated: March 13, 2023, 13:55 "
Belize,"70,782",,688,,"70,085",,9,6,"171,722","1,669","576,016","1,397,453","412,190","Last updated: March 13, 2023, 13:55 "
Fiji,"68,898",,883,,"67,006",,"1,009",,"75,757",971,"669,148","735,759","909,466","Last updated: March 13, 2023, 13:55 "
Madagascar,"67,941",,"1,423",,"66,470",,48,,"2,328",49,"528,012","18,096","29,178,077","Last updated: March 13, 2023, 13:55 "
Sudan,"63,829",,"5,017",,"58,501",+9,311,,"1,388",109,"562,941","12,240","45,992,020","Last updated: March 13, 2023, 13:55 "
Mauritania,"63,668",,997,,"62,441",,230,,"12,988",203,"1,009,957","206,030","4,901,981","Last updated: March 13, 2023, 13:55 "
Cabo Verde,"63,244",,413,,"62,773",,58,23,"111,408",728,"401,622","707,482","567,678","Last updated: March 13, 2023, 13:55 "
Bhutan,"62,627",,21,,"61,564",,"1,042",,"79,482",27,"2,303,734","2,923,739","787,941","Last updated: March 13, 2023, 13:55 "
Syria,"57,478",,"3,164",,"54,314",,0,,"2,968",163,"146,269","7,553","19,364,809","Last updated: March 13, 2023, 13:55 "
Burundi,"53,631",,38,,"53,569",,24,,"4,248",3,"345,742","27,386","12,624,840","Last updated: March 13, 2023, 13:55 "
Seychelles,"50,665",,172,,"50,440",,53,,"509,575","1,730",,,"99,426","Last updated: March 13, 2023, 13:55 "
