"Country, Other",Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M Pop,Death Cases/1M Pop,Total Tests,Tests/1M Pop,Population,Date
Tonga,"16,801",,13,,"15,638",,"1,150",,"155,927",121,"535,009","4,965,327","107,749","Last updated: March 01, 2023, 13:47 "
Samoa,"16,607",,29,,"1,605",,"14,973",,"82,116",143,"187,397","926,612","202,239","Last updated: March 01, 2023, 13:47 "
Monaco,"16,106",,67,,"15,992",,47,4,"404,846","1,684","78,646","1,976,875","39,783","Last updated: March 01, 2023, 13:47 "
Dominica,"15,760",,74,,"15,673",,13,,"217,848","1,023","229,344","3,170,187","72,344","Last updated: March 01, 2023, 13:47 "
Djibouti,"15,690",,189,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097","Last updated: March 01, 2023, 13:47 "
Marshall Islands,"15,598",,17,,"15,528",,53,,"259,720",283,,,"60,057","Last updated: March 01, 2023, 13:47 "
CAR,"15,368",,113,,"15,200",,55,2,"3,063",23,"81,294","16,205","5,016,678","Last updated: March 01, 2023, 13:47 "
Gambia,"12,586",,372,,"12,189",,25,,"4,919",145,"155,686","60,851","2,558,482","Last updated: March 01, 2023, 13:47 "
Saint Martin,"12,257",,63,,"1,399",,"10,795",7,"308,507","1,586","112,382","2,828,643","39,730","Last updated: March 01, 2023, 13:47 "
Vanuatu,"12,014",,14,,"11,976",,24,,"37,330",44,"24,976","77,606","321,832","Last updated: March 01, 2023, 13:47 "
Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810","56,973","Last updated: March 01, 2023, 13:47 "
Yemen,"11,945",,"2,159",,"9,124",,662,23,383,69,"329,592","10,579","31,154,867","Last updated: March 01, 2023, 13:47 "
Caribbean Netherlands,"11,672",,38,,"10,476",,"1,158",,"438,023","1,426","30,126","1,130,559","26,647","Last updated: March 01, 2023, 13:47 "
Sint Maarten,"11,016",,91,,"10,905",,20,N/A,"250,557","2,070","62,056","1,411,454","43,966","Last updated: March 01, 2023, 13:47 "
Eritrea,"10,189",,103,,"10,086",,0,,"2,782",28,"23,693","6,470","3,662,244","Last updated: March 01, 2023, 13:47 "
Niger,"9,931",,312,,"8,890",,729,1,381,12,"254,538","9,759","26,083,660","Last updated: March 01, 2023, 13:47 "
St. Vincent Grenadines,"9,589",,123,,"9,466",,0,,"85,961","1,103","113,703","1,019,292","111,551","Last updated: March 01, 2023, 13:47 "
Antigua and Barbuda,"9,106",,146,,"8,954",,6,1,"91,509","1,467","18,901","189,943","99,509","Last updated: March 01, 2023, 13:47 "
Comoros,"8,998",,161,,"8,837",,0,,"9,916",177,,,"907,419","Last updated: March 01, 2023, 13:47 "
Guinea-Bissau,"8,953",,176,,"8,660",,117,6,"4,339",85,"145,231","70,385","2,063,367","Last updated: March 01, 2023, 13:47 "
Liberia,"8,077",,294,,"7,768",,15,2,"1,522",55,"139,824","26,356","5,305,117","Last updated: March 01, 2023, 13:47 "
Sierra Leone,"7,760",,126,,N/A,N/A,N/A,,934,15,"259,958","31,296","8,306,436","Last updated: March 01, 2023, 13:47 "
Chad,"7,678",,194,,"4,874",,"2,610",,441,11,"191,341","10,988","17,413,580","Last updated: March 01, 2023, 13:47 "
British Virgin Islands,"7,305",,64,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596","Last updated: March 01, 2023, 13:47 "
Cook Islands,"7,025",,2,,"7,012",,11,,"399,806",114,"19,690","1,120,596","17,571","Last updated: March 01, 2023, 13:47 "
